index,우편번호,실시간빠른길,편한길,최적경로,무료우선,second_highest,주소
9587,15511,27.5,27.5,22.94,22.94,27.5,경기도 안산시 상록구 도매시장로 20
9588,15512,27.64,28.49,23.94,23.94,27.64,경기도 안산시 상록구 충장로6길 6
9589,15513,28.23,28.23,23.68,23.68,28.23,경기도 안산시 상록구 충장로 270
9590,15514,27.8,27.8,23.25,23.25,27.8,경기도 안산시 상록구 이동1길 9
9591,15515,26.99,26.99,22.44,22.44,26.99,경기도 안산시 상록구 석삼말로 47
9592,15516,27.34,27.34,22.79,22.79,27.34,경기도 안산시 상록구 수인로 1263
9593,15517,27.5,27.5,22.95,22.95,27.5,경기도 안산시 상록구 상록수로 61
9594,15518,27.59,27.59,23.03,23.03,27.59,경기도 안산시 상록구 매화로4길 4
9595,15519,31.52,31.52,31.52,26.84,31.52,경기도 안산시 상록구 반월천북길 139
9596,15520,29.1,29.1,29.1,27.96,29.1,경기도 안산시 상록구 삼천리5길 44
9597,15521,26.89,26.89,26.89,27.68,26.89,경기도 안산시 상록구 도마길 32
9598,15522,30.75,30.75,30.75,26.77,30.75,경기도 안산시 상록구 선학길 66
9599,15523,29.6,29.6,29.6,27.74,29.6,경기도 안산시 상록구 양지마을3길 19
9600,15524,29.42,29.42,29.42,27.56,29.42,경기도 안산시 상록구 양지마을길 29
9601,15525,30.06,30.89,30.06,25.48,30.06,경기도 안산시 상록구 수인로 993
9602,15526,30.28,30.89,30.28,24.85,30.28,경기도 안산시 상록구 해안로 1355
9603,15527,29.75,29.75,29.75,26.57,29.75,경기도 안산시 상록구 해안로 1196
9604,15528,28.68,28.68,28.68,26.54,28.68,경기도 안산시 상록구 팔곡산단2길 20
9605,15529,29.82,30.93,29.82,25.26,29.82,경기도 안산시 상록구 해안로 1313
9606,15530,31.12,31.12,31.12,25.76,31.12,경기도 안산시 상록구 팔곡두레길 25
9607,15531,30.44,31.55,30.44,25.29,30.44,경기도 안산시 상록구 해안로 1305
9608,15532,28.52,28.52,23.96,23.96,28.52,경기도 안산시 상록구 상록수로 54
9609,15533,27.85,27.85,23.29,23.29,27.85,경기도 안산시 상록구 상록수안길 51
9610,15534,28.17,28.17,23.62,23.62,28.17,경기도 안산시 상록구 각골로9길 6
9611,15535,28.81,28.81,24.26,24.26,28.81,경기도 안산시 상록구 본오로 146
9612,15536,28.64,28.64,24.09,24.09,28.64,경기도 안산시 상록구 본오공원2길 35
9613,15537,28.62,28.62,24.07,24.07,28.62,경기도 안산시 상록구 본삼로 49
9614,15538,28.76,28.76,24.21,24.21,28.76,경기도 안산시 상록구 샘골로 190
9615,15539,29.25,29.25,24.27,24.27,29.25,경기도 안산시 상록구 샘골로 163
9616,15540,29.32,29.32,24.76,24.76,29.32,경기도 안산시 상록구 샘골로 111
9617,15541,29.13,29.13,24.58,24.58,29.13,경기도 안산시 상록구 샘골로 140
9618,15542,28.8,28.8,24.25,24.25,28.8,경기도 안산시 상록구 본오로9안길 24
9619,15543,28.66,28.66,24.11,24.11,28.66,경기도 안산시 상록구 각골서로3길 9
9620,15544,28.58,28.58,24.03,24.03,28.58,경기도 안산시 상록구 반석로 136
9621,15545,30.6,30.6,30.6,24.77,30.6,경기도 안산시 상록구 각골동로 54
9622,15546,28.35,28.35,23.79,23.79,28.35,경기도 안산시 상록구 반석로3길 17
9623,15547,30.61,30.61,30.61,24.45,30.61,경기도 안산시 상록구 오목로 207
9624,15548,30.47,30.47,30.47,24.46,30.47,경기도 안산시 상록구 각골로1안길 31
9625,15549,30.33,30.33,30.33,24.4,30.33,경기도 안산시 상록구 석호로3안길 4
9626,15550,30.66,30.66,30.66,24.74,30.66,경기도 안산시 상록구 각골서로2안길 24
9627,15551,29.45,29.45,24.9,24.9,29.45,경기도 안산시 상록구 샘골로7길 5
9628,15552,29.18,29.18,24.62,24.62,29.18,경기도 안산시 상록구 충장로3길 14
9629,15553,30.89,30.89,30.89,24.99,30.89,경기도 안산시 상록구 충장로2길 24
9630,15554,30.66,30.66,30.66,25.09,30.66,경기도 안산시 상록구 본원로 54
9631,15555,30.62,30.62,30.62,24.69,30.62,경기도 안산시 상록구 본원로4길 8
9632,15556,30.1,30.1,30.1,24.36,30.1,경기도 안산시 상록구 각골로 29
9633,15557,30.45,30.45,30.45,24.53,30.45,경기도 안산시 상록구 석호로 400
9634,15558,30.24,30.24,30.24,26.44,30.24,경기도 안산시 상록구 각골동로 18
9635,15559,30.25,30.25,30.25,26.13,30.25,경기도 안산시 상록구 오목로 180
9636,15560,30.14,30.14,30.14,24.58,30.14,경기도 안산시 상록구 본원로 108
9637,15561,30.18,30.18,30.18,24.98,30.18,경기도 안산시 상록구 오목로 87
9638,15562,29.86,29.86,25.3,25.3,29.86,경기도 안산시 상록구 오목로9길 11
9639,15563,30.82,30.82,30.82,25.14,30.82,경기도 안산시 상록구 오목로4안길 2
9640,15564,31.48,31.48,31.48,25.35,31.48,경기도 안산시 상록구 이호로1길 6
9641,15565,31.09,31.09,31.09,25.44,31.09,경기도 안산시 상록구 이호로 39
9642,15566,31.19,31.19,31.19,25.43,31.19,경기도 안산시 상록구 이호로4길 13
9643,15567,30.58,30.58,30.58,25.38,30.58,경기도 안산시 상록구 본오로 31
9644,15568,30.81,30.81,30.81,27.68,30.81,경기도 안산시 상록구 본오로3안길 4
9645,15569,30.06,30.06,30.06,24.85,30.06,경기도 안산시 상록구 이호로7길 15
9646,15570,30.51,30.51,30.51,27.38,30.51,경기도 안산시 상록구 본오로 6
9647,15571,30.56,30.56,30.56,27.43,30.56,경기도 안산시 상록구 세류로 47
9648,15572,31.09,31.09,31.09,25.68,31.09,경기도 안산시 상록구 세류로3길 20
9649,15573,29.82,29.82,25.27,25.27,29.82,경기도 안산시 상록구 이호로 20
9650,15574,31.86,31.86,31.86,26.13,31.86,경기도 안산시 상록구 막고지1길 25
9651,15575,30.99,30.99,30.99,27.86,30.99,경기도 안산시 상록구 고목로7길 5
9652,15576,30.84,30.84,30.84,27.7,30.84,경기도 안산시 상록구 샘골로 16
9653,15577,28.83,27.02,25.31,25.31,27.02,경기도 안산시 상록구 한양대학로 74
9654,15578,28.45,28.45,23.89,23.89,28.45,경기도 안산시 상록구 성안길 97
9655,15579,28.25,28.25,26.03,26.03,28.25,경기도 안산시 상록구 용신로 220
9656,15580,30.16,30.16,25.61,25.61,30.16,경기도 안산시 상록구 서암로1길 7
9657,15581,29.9,29.9,25.35,25.35,29.9,경기도 안산시 상록구 석호공원로 83
9658,15582,28.97,28.97,25.44,25.44,28.97,경기도 안산시 상록구 둥지길 4
9659,15583,29.76,29.46,25.21,25.21,29.46,경기도 안산시 상록구 이화1길 62
9660,15584,29.01,29.01,24.46,24.46,29.01,경기도 안산시 상록구 감골로 200
9661,15585,29.18,29.18,25.66,25.66,29.18,경기도 안산시 상록구 후곡2길 55
9662,15586,28.45,28.45,23.9,23.9,28.45,경기도 안산시 상록구 학사3길 21
9663,15587,29.13,27.32,25.61,25.61,27.32,경기도 안산시 상록구 한양대학로 41
9664,15588,26.67,31.6,26.67,26.67,26.67,경기도 안산시 상록구 해안로 723
9665,15589,28.89,28.89,24.34,24.34,28.89,경기도 안산시 상록구 후곡안길 10
9666,15590,29.21,29.21,24.65,24.65,29.21,경기도 안산시 상록구 댕이길 9
9667,15591,29.6,29.6,25.05,25.05,29.6,경기도 안산시 상록구 감골공원길 24
9668,15592,25.97,30.57,25.97,25.97,25.97,경기도 안산시 상록구 광덕대로 70
9669,15593,26.07,30.66,26.07,26.07,26.07,경기도 안산시 상록구 해양1로 48
9670,15594,26.19,30.74,26.19,26.19,26.19,경기도 안산시 상록구 해양로 19
9671,15595,26.01,30.61,26.01,26.01,26.01,경기도 안산시 상록구 해양로 10
9672,15596,33.56,33.56,33.56,27.46,33.56,경기도 안산시 상록구 해양5로 10
9673,15597,21.59,21.59,21.59,21.59,21.59,경기도 안산시 단원구 목내로 160
9674,15598,22.29,28.07,22.29,22.29,22.29,경기도 안산시 단원구 신원로 367
9675,15599,22.16,22.16,22.16,22.16,22.16,경기도 안산시 단원구 원시로 65
9676,15600,22.3,27.95,22.3,22.3,22.3,경기도 안산시 단원구 산단로83번길 39
9677,15601,22.46,27.36,22.46,22.46,22.46,경기도 안산시 단원구 장자골로 50
9678,15602,21.94,21.94,21.94,21.94,21.94,경기도 안산시 단원구 목내로 121
9679,15603,22.81,27.7,22.81,22.81,22.81,경기도 안산시 단원구 별망로 327
9680,15604,22.84,27.73,22.84,22.84,22.84,경기도 안산시 단원구 신원로 292
9681,15605,22.94,28.3,22.94,22.94,22.94,경기도 안산시 단원구 별망로399번길 6
9682,15606,23.45,27.91,23.45,23.45,23.45,경기도 안산시 단원구 첨단로245번길 16
9683,15607,23.45,27.91,23.45,23.45,23.45,경기도 안산시 단원구 첨단로285번길 7
9684,15608,23.06,27.7,23.06,23.06,23.06,경기도 안산시 단원구 별망로 346
9685,15609,24.38,24.38,24.38,24.38,24.38,경기도 안산시 단원구 해안로 77
9686,15610,22.96,24.5,22.96,22.96,22.96,경기도 안산시 단원구 산단로35번길 104
9687,15611,23.3,23.3,23.3,23.3,23.3,경기도 안산시 단원구 해안로 200
9688,15612,22.75,22.75,22.75,22.75,22.75,경기도 안산시 단원구 산단로20번길 43
9689,15613,23.23,29.02,23.56,23.56,23.56,경기도 안산시 단원구 해안로 349
9690,15614,23.12,28.57,23.12,23.12,23.12,경기도 안산시 단원구 별망로 656
9691,15615,25.26,31.04,25.26,25.26,25.26,경기도 안산시 단원구 첨단로 644
9692,15616,23.52,23.52,23.52,23.52,23.52,경기도 안산시 단원구 정왕천동로10번길 43
9693,15617,23.08,23.08,23.08,23.08,23.08,경기도 안산시 단원구 별망로 60
9694,15618,23.98,23.81,23.98,23.98,23.98,경기도 안산시 단원구 진흥로 50
9695,15619,23.59,28.04,23.59,23.59,23.59,경기도 안산시 단원구 진흥로38번길 81
9696,15620,29.23,29.23,24.68,24.68,29.23,경기도 안산시 상록구 감골로 123
9697,15621,29.96,29.96,25.41,25.41,29.96,경기도 안산시 상록구 감골2로 44
9698,15622,30.07,30.07,25.51,25.51,30.07,경기도 안산시 상록구 감골2로 47
9699,15623,29.74,29.74,25.18,25.18,29.74,경기도 안산시 상록구 감골2로 11
9700,15624,32.13,32.13,32.13,25.76,32.13,경기도 안산시 상록구 초당4길 12
9701,15625,29.84,29.84,27.62,27.62,29.84,경기도 안산시 상록구 항호4길 46
9702,15626,29.82,29.82,25.16,25.16,29.82,경기도 안산시 상록구 항호길 79
9703,15627,32.98,32.98,32.98,27.88,32.98,경기도 안산시 상록구 해안로 865
9704,15628,32.24,32.24,32.24,28.34,32.24,경기도 안산시 상록구 항가울로 5
9705,15629,32.52,32.52,32.52,28.63,32.52,경기도 안산시 상록구 장화3길 2
9706,15630,31.8,31.8,31.8,25.88,31.8,경기도 안산시 상록구 장화1안길 21
9707,15631,31.92,31.92,31.92,26.23,31.92,경기도 안산시 상록구 선진로 114
9708,15632,32.27,32.27,32.27,26.58,32.27,경기도 안산시 상록구 영화2길 5
9709,15633,32.75,32.75,32.75,28.84,32.75,경기도 안산시 상록구 선진안길 80
9710,15634,33.08,33.08,33.08,27.96,33.08,경기도 안산시 상록구 해안로 870
9711,15635,32.75,32.75,32.75,28.84,32.75,경기도 안산시 상록구 선진안길 80
9712,15636,34.01,34.01,34.01,27.83,34.01,경기도 안산시 상록구 선진로 66
9713,15637,30.86,28.68,28.68,28.68,28.68,경기도 안산시 단원구 대부황금로 1927
9714,15638,29.94,27.76,27.76,29.94,29.94,경기도 안산시 단원구 대부황금로 1975
9715,15639,38.96,45.78,36.78,36.78,38.96,경기도 안산시 단원구 구봉길 234
9716,15640,37.77,35.59,37.77,37.77,37.77,경기도 안산시 단원구 돈지섬길 69
9717,15641,42.52,49.34,42.52,42.52,42.52,경기도 안산시 단원구 영전4길 5
9718,15642,41.85,48.67,41.85,41.85,41.85,경기도 안산시 단원구 솔개바위산길 21
9719,15643,40.6,49.6,40.6,40.6,40.6,경기도 안산시 단원구 신당안길 62
9720,15644,39.87,46.7,39.87,39.87,39.87,경기도 안산시 단원구 대부황금로 989
9721,15645,42.06,48.88,42.06,42.06,42.06,경기도 안산시 단원구 장골1길 46
9722,15646,39.87,46.69,39.87,39.87,39.87,경기도 안산시 단원구 새방죽길 42
9723,15647,45.11,51.93,45.11,45.11,45.11,경기도 안산시 단원구 대선로 816
9724,15648,42.22,49.04,42.22,42.22,42.22,경기도 안산시 단원구 막골1길 65
9725,15649,43.72,50.55,43.72,43.72,43.72,경기도 안산시 단원구 수영목길 27
9726,15650,44.84,51.66,44.84,44.84,44.84,경기도 안산시 단원구 부흥로 287
9727,15651,45.41,54.28,45.41,45.41,45.41,경기도 안산시 단원구 본말길 34
9728,15652,53.65,53.65,50.23,49.02,53.65,경기도 안산시 단원구 탄도안길 11
9729,15653,47.26,54.08,47.26,47.26,47.26,경기도 안산시 단원구 쪽박섬길 97
9730,15654,59.94,68.94,59.94,59.94,59.94,경기도 안산시 단원구 육도길 7
9731,15655,24.61,24.61,24.61,24.61,24.61,경기도 안산시 단원구 시화호수로 485
9732,15656,24.44,25.11,24.44,24.44,24.44,경기도 안산시 단원구 엠티브이10로10번길 17
9733,15657,24.34,24.34,24.34,24.34,24.34,경기도 안산시 단원구 엠티브이1로91번길 37
9734,15658,24.17,29.41,24.17,24.17,24.17,경기도 안산시 단원구 엠티브이1로 141
9735,15800,23.13,23.13,23.13,25.48,23.13,경기도 군포시 곡란로74번길 16
9736,15801,23.55,23.55,23.55,19.91,23.55,경기도 군포시 곡란로 22
9737,15802,23.1,23.1,23.1,25.63,23.1,경기도 군포시 고산로677번길 34
9738,15803,23.2,23.2,23.2,25.73,23.2,경기도 군포시 고산로643번길 4
9739,15804,23.33,23.33,23.33,25.86,23.33,경기도 군포시 산본로432번길 10
9740,15805,24.72,24.72,24.72,19.04,24.72,경기도 군포시 산본천로225번길 75
9741,15806,24.8,24.8,24.8,20.01,24.8,경기도 군포시 금산로 88
9742,15807,25.37,25.37,25.37,19.41,25.37,경기도 군포시 엘에스로166번길 9
9743,15808,25.9,25.9,19.08,19.08,25.9,경기도 군포시 공단로 356
9744,15809,26.65,26.65,26.65,20.75,26.65,경기도 군포시 공단로 237
9745,15810,25.29,27.34,25.29,20.24,25.29,경기도 군포시 금정로 40
9746,15811,25.34,27.52,25.34,20.18,25.34,경기도 군포시 금정로18번길 18
9747,15812,25.31,27.04,25.31,20.49,25.31,경기도 군포시 당산로 152
9748,15813,25.39,27.13,25.39,20.57,25.39,경기도 군포시 번영로 607
9749,15814,23.99,23.99,23.99,19.8,23.99,경기도 군포시 산본로386번길 77
