우편번호,주소
25563,강원특별자치도 강릉시 남강초교2길 44
25562,강원특별자치도 강릉시 경강로 2473
25469,강원특별자치도 강릉시 산양큰길 79
25613,강원특별자치도 강릉시 신석길 69
25609,강원특별자치도 강릉시 신석길127번길 12
25461,강원특별자치도 강릉시 경포로475번길 23
25431,강원특별자치도 강릉시 남평길 1
25428,강원특별자치도 강릉시 진고개로 2642
25429,강원특별자치도 강릉시 연주로 163
25400,강원특별자치도 강릉시 진고개로 1563
25432,강원특별자치도 강릉시 초시길 229
25430,강원특별자치도 강릉시 영진2길 12
25433,강원특별자치도 강릉시 유등길 67
25427,강원특별자치도 강릉시 백운동길 143
25426,강원특별자치도 강릉시 퇴곡2길 22
25633,강원특별자치도 강릉시 헌화로 64
25638,강원특별자치도 강릉시 풍동로 240
25646,강원특별자치도 강릉시 남양1길 8
25635,강원특별자치도 강릉시 도직길 7
25637,강원특별자치도 강릉시 풍동로 638
25645,강원특별자치도 강릉시 석화동굴길 244
25636,강원특별자치도 강릉시 생골길 65
25634,강원특별자치도 강릉시 금진솔밭길 104
25554,강원특별자치도 강릉시 율곡로 2816
25552,강원특별자치도 강릉시 경강로 2179
25553,강원특별자치도 강릉시 옥천로8번길 4
25550,강원특별자치도 강릉시 중기1길 3
25549,강원특별자치도 강릉시 중기3길 3
25644,강원특별자치도 강릉시 왕산로 14
25642,강원특별자치도 강릉시 노추산로 1503
25639,강원특별자치도 강릉시 석우동길 59
25640,강원특별자치도 강릉시 백두대간로 1375
25643,강원특별자치도 강릉시 백두대간로 633
25641,강원특별자치도 강릉시 왕산로 2328
25614,강원특별자치도 강릉시 독송길110번길 34
25619,강원특별자치도 강릉시 월호평길 88
25458,강원특별자치도 강릉시 선수촌로 92
25456,강원특별자치도 강릉시 유죽길 11
25457,강원특별자치도 강릉시 동해대로 3097
25532,강원특별자치도 강릉시 문화의길 12
25577,강원특별자치도 강릉시 성덕로 264
25583,강원특별자치도 강릉시 입암로 45
25580,강원특별자치도 강릉시 용지로 24
25615,강원특별자치도 강릉시 입암로148번길 38
25576,강원특별자치도 강릉시 성덕포남로 80
25582,강원특별자치도 강릉시 용지로 23
25578,강원특별자치도 강릉시 강변로 427
25581,강원특별자치도 강릉시 강중길 53
25616,강원특별자치도 강릉시 성덕로 316
25579,강원특별자치도 강릉시 입암로 147
25420,강원특별자치도 강릉시 신리대동길 31
25418,강원특별자치도 강릉시 장성중길 7
25424,강원특별자치도 강릉시 신리2길 4
25423,강원특별자치도 강릉시 연주로 275
25419,강원특별자치도 강릉시 주문로 44
25422,강원특별자치도 강릉시 보리골길 26
25415,강원특별자치도 강릉시 아래사다리길 38
25413,강원특별자치도 강릉시 구시장길 4
25417,강원특별자치도 강릉시 웃사다리1길 16
25416,강원특별자치도 강릉시 신리천로 117
25421,강원특별자치도 강릉시 금용길 116
25425,강원특별자치도 강릉시 연주로 270
25414,강원특별자치도 강릉시 연주로 428
25405,강원특별자치도 강릉시 용소마을길 81
25401,강원특별자치도 강릉시 신리천로 1181
25402,강원특별자치도 강릉시 금용길 169
25411,강원특별자치도 강릉시 해안로 1822
25404,강원특별자치도 강릉시 소돌안길 19
25409,강원특별자치도 강릉시 약수동길 4
25410,강원특별자치도 강릉시 주문로 111
25408,강원특별자치도 강릉시 해안로 1907
25407,강원특별자치도 강릉시 소돌길 42
25412,강원특별자치도 강릉시 해안로 1791
25406,강원특별자치도 강릉시 주문북로 147
25403,강원특별자치도 강릉시 향호길 30
25454,강원특별자치도 강릉시 동해대로3305번길 13
25455,강원특별자치도 강릉시 죽헌길85번길 55
25470,강원특별자치도 강릉시 연당길 89
25471,강원특별자치도 강릉시 난설헌로 149
25568,강원특별자치도 강릉시 성덕포남로168번길 41
25565,강원특별자치도 강릉시 하평6길 53
25478,강원특별자치도 강릉시 보래미길 37
25481,강원특별자치도 강릉시 산양길26번길 18
25545,강원특별자치도 강릉시 경강로2255번길 25
25572,강원특별자치도 강릉시 하평길 5
25487,강원특별자치도 강릉시 성덕포남로206번길 6
25492,강원특별자치도 강릉시 강릉대로 351
25564,강원특별자치도 강릉시 강변북길 201
25571,강원특별자치도 강릉시 경강로2291번길 13
25546,강원특별자치도 강릉시 경강로 2271
25570,강원특별자치도 강릉시 경강로2326번길 10
25477,강원특별자치도 강릉시 가작로 257
25567,강원특별자치도 강릉시 하평3길 47
25485,강원특별자치도 강릉시 강릉대로 447
25486,강원특별자치도 강릉시 가작로 301
25480,강원특별자치도 강릉시 강릉대로469번길 22
25548,강원특별자치도 강릉시 용지로104번길 7
25547,강원특별자치도 강릉시 경강로2268번길 8
25484,강원특별자치도 강릉시 산양큰길 14
