우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
25594,강원특별자치도 강릉시 임영로26번길 10,225.41,105.32,321.83
25584,강원특별자치도 강릉시 율곡로 2750,225.36,105.32,321.83
25611,강원특별자치도 강릉시 노암등길 71,225.99,105.32,321.83
25589,강원특별자치도 강릉시 율곡로 2733,225.57,105.32,321.83
25590,강원특별자치도 강릉시 율곡로 2705,226.9,105.32,321.83
25587,강원특별자치도 강릉시 노암길41번길 14,225.26,105.32,321.83
25610,강원특별자치도 강릉시 노암등길 76,225.51,105.32,321.83
25586,강원특별자치도 강릉시 단오장길 1,224.31,105.32,321.83
25612,강원특별자치도 강릉시 유산로25번길 84,226.59,105.32,321.83
25605,강원특별자치도 강릉시 진재골길29번길 89,225.46,105.32,321.83
25591,강원특별자치도 강릉시 노가니남길 25,225.95,105.32,321.83
25593,강원특별자치도 강릉시 임영로 46,225.45,105.32,321.83
25607,강원특별자치도 강릉시 모산로111번길 15,230.25,105.32,321.83
25453,강원특별자치도 강릉시 한밭골길 76,230.86,105.32,321.83
25452,강원특별자치도 강릉시 과학단지로21번길 1,230.12,105.32,321.83
25451,강원특별자치도 강릉시 과학단지로 24,230.07,105.32,321.83
25440,강원특별자치도 강릉시 과학단지로 106,229.25,105.32,321.83
25573,강원특별자치도 강릉시 강변로534번길 58,229.29,105.32,321.83
25575,강원특별자치도 강릉시 강변로648번길 39,230.07,105.32,321.83
25534,강원특별자치도 강릉시 명주로 6,223.88,105.32,321.83
25608,강원특별자치도 강릉시 박월길 124,231.44,105.32,321.83
25606,강원특별자치도 강릉시 모산로224번길 39,226.55,105.32,321.83
25574,강원특별자치도 강릉시 성덕로 146,229.97,105.32,321.83
25437,강원특별자치도 강릉시 샛돌3길 25,228.09,105.32,321.83
25439,강원특별자치도 강릉시 송암골길 102,224.93,105.32,321.83
25436,강원특별자치도 강릉시 본동길 170,228.41,105.32,321.83
25438,강원특별자치도 강릉시 중앙서로 694,233.13,105.32,321.83
25435,강원특별자치도 강릉시 해안로 1044,229.66,105.32,321.83
25441,강원특별자치도 강릉시 산대월길 302,230.97,105.32,321.83
25459,강원특별자치도 강릉시 해안로 725,231,105.32,321.83
25434,강원특별자치도 강릉시 석교양지길 36,227.17,105.32,321.83
25542,강원특별자치도 강릉시 중앙시장2길 59,224.93,105.32,321.83
25544,강원특별자치도 강릉시 금성로45번길 12,224.72,105.32,321.83
25555,강원특별자치도 강릉시 율곡로 2792,225.11,105.32,321.83
25533,강원특별자치도 강릉시 경강로 2063,224.12,105.32,321.83
25448,강원특별자치도 강릉시 괴일길 171,226.96,105.32,321.83
25450,강원특별자치도 강릉시 경강로 1237,223.79,105.32,321.83
25445,강원특별자치도 강릉시 칠봉로 16,223.12,105.32,321.83
