ZipCode,avg_cost,avg_cost_per_km
10016,45000.0,900.0
10090,34864.86486486487,893.970893970894
10109,45000.0,1406.25
10113,45000.0,1500.0
10366,70000.0,1794.871794871795
10391,,
10401,,
10403,30000.0,909.0909090909091
10410,35000.0,921.0526315789474
10442,38571.42857142857,1244.2396313364054
10443,,
10449,35000.0,1129.032258064516
10512,,
10545,50000.0,3846.153846153846
10561,,
10845,48125.0,760.8363858363857
10897,50000.0,1000.0
10939,52727.27272727273,1033.868092691622
10955,55000.0,1057.6923076923076
12098,60000.0,1200.0
12243,,
12269,60000.0,952.3809523809524
12284,60000.0,983.6065573770492
12611,,
12646,80000.0,733.9449541284404
12902,40000.0,727.2727272727273
12938,70000.0,1206.896551724138
13211,40000.0,740.7407407407408
13449,50000.0,1190.4761904761904
13453,40000.0,930.2325581395348
13486,48461.53846153846,1101.3986013986014
13487,,
13488,45000.0,1022.7272727272727
13493,42500.0,923.9130434782609
13494,44166.666666666664,1027.1317829457364
13496,47962.96296296296,978.835978835979
13505,50000.0,1020.4081632653061
13531,55000.0,1341.4634146341464
13557,,
13570,50000.0,1063.8297872340424
13590,40000.0,930.2325581395348
13591,,
13595,52857.142857142855,1149.0683229813665
13609,,
13636,,
13638,50000.0,1086.9565217391305
13824,25000.0,892.8571428571429
13840,32500.0,984.8484848484848
14055,27250.0,1048.076923076923
14056,,
14058,30000.0,1000.0
14087,30000.0,1500.0
14127,30000.0,1111.111111111111
14348,20000.0,1176.4705882352941
14547,22500.0,1496.2121212121212
14780,15000.0,5000.0
14988,26000.0,1444.4444444444443
15093,26666.666666666668,1212.121212121212
15603,,
15609,40000.0,1142.857142857143
15633,,
15808,25000.0,961.5384615384615
15849,25000.0,781.25
16006,33333.333333333336,1075.268817204301
16075,,
16082,38571.42857142857,1102.0408163265306
16336,35000.0,833.3333333333334
16419,30000.0,697.6744186046511
16494,,
16508,,
16512,,
16522,40000.0,754.7169811320755
16674,40000.0,727.2727272727273
16675,40833.333333333336,816.6666666666666
16676,48750.0,955.8823529411766
16677,51666.666666666664,1013.0718954248367
16678,50000.0,862.0689655172414
16681,45000.0,882.3529411764706
16826,40000.0,816.3265306122449
16827,55000.0,1486.4864864864865
16832,55000.0,1018.5185185185185
16858,40000.0,833.3333333333334
16878,47608.69565217391,881.6425120772948
16891,45000.0,789.4736842105264
16924,40000.0,800.0
16995,40000.0,677.9661016949152
17018,60000.0,937.5
17058,63333.333333333336,1019.161841742487
17086,,
17088,45000.0,750.0
17096,,
17113,40000.0,645.1612903225806
17170,40000.0,444.44444444444446
17332,70000.0,752.6881720430108
17336,65000.0,691.4893617021277
17424,,
17500,60000.0,666.6666666666666
17550,60000.0,722.8915662650602
17552,,
17558,60000.0,645.1612903225806
17567,90000.0,927.8350515463918
17604,60000.0,553.2891381947986
17704,,
17708,,
17709,70000.0,1029.4117647058824
17736,,
17786,,
17812,,
17823,75000.0,925.9259259259259
17901,50000.0,574.7126436781609
17905,,
17936,70000.0,864.1975308641976
17963,,
17973,,
17977,60000.0,689.6551724137931
17998,60000.0,652.1739130434783
18279,,
18383,50000.0,819.672131147541
18448,47884.61538461538,798.3213820078225
18449,52500.0,875.0
18453,60000.0,140.5152224824356
18469,50000.0,862.0689655172414
18481,50000.0,847.457627118644
18488,45000.0,750.0000000000001
18489,45000.0,703.125
18514,,
18515,55000.0,859.375
18623,55000.0,901.639344262295
21004,,
21321,25000.0,1666.6666666666667
21330,25000.0,1562.5
21390,21250.0,1328.125
21554,35000.0,2187.5
21558,26666.666666666668,1777.777777777778
21573,,
21967,,
21986,30000.0,1034.4827586206898
21987,38125.0,1361.607142857143
21989,25000.0,543.4782608695652
21990,25000.0,961.5384615384615
