SLA,total_orders,avg_travel_time,avg_cost,cost_per_km
EMC,10,,,
LENOVO,6,,,
Lenovo,6,,,
NBD,3639,136.375,32968.75,1112.9647778988624
Urgent,1625,197.8,51612.33766233766,1133.1614730823492
WEWORK,1,,,
