ZipCode,total_orders,avg_distance
06647,1,40.0
06655,2,33.0
06672,2,27.0
06705,1,27.0
06707,2,31.0
06724,8,40.0
06725,7,35.0
06754,1,36.0
06763,1,37.0
06771,4,39.0
06772,1,39.0
07062,1,16.0
07063,1,15.0
07071,3,16.0
07207,1,16.0
07217,1,16.0
07228,2,17.0
07237,36,20.0
07242,2,19.0
07247,1,20.0
07251,4,16.0
07285,2,13.0
07292,1,16.0
07293,1,14.0
07305,1,11.0
07320,7,14.0
07321,1,14.0
07326,2,15.0
07330,1,19.0
07345,3,18.0
07378,1,12.0
07379,1,21.0
07505,2,21.0
07516,1,30.0
07523,1,17.0
07532,2,16.0
07547,3,16.0
07583,2,15.0
07646,2,15.0
07648,2,16.0
07793,13,16.0
07796,5,14.0
07801,1,15.0
07900,1,8.0
07974,1,20.0
07991,16,13.0
07994,27,11.333333333333334
08013,1,13.0
08213,2,13.0
08362,1,2.0
08378,7,11.0
08382,2,11.0
08389,79,10.0
08390,1,10.0
08500,9,9.0
08501,10,10.0
08503,9,9.0
08504,3,10.0
08507,22,10.0
08510,3,20.0
08511,1,11.0
08513,12,11.0
08533,2,10.0
08588,1,10.0
08589,2,9.0
08704,1,14.0
08708,15,16.0
08741,1,25.0
08768,19,11.0
08780,5,15.0
08806,1,30.0
08826,1,22.0
08846,3,17.0
