City,OrderHour,total_orders,avg_cost
City_327,0,2,
City_328,0,1,
City_329,0,1,
City_33,0,1,55000.0
City_330,0,1,
City_331,0,1,
City_332,0,1,
City_333,0,2,
City_334,0,2,
City_335,0,1,
City_336,0,1,
City_337,0,1,
City_338,0,2,
City_339,0,1,
City_34,0,2,85000.0
City_340,0,1,
City_341,0,1,
City_342,0,1,
City_343,0,1,
City_344,0,2,
City_345,0,7,
City_346,0,1,
City_347,0,1,
City_348,0,2,
City_349,0,1,
City_35,0,14,86363.63636363637
City_350,0,1,
City_351,0,1,
City_352,0,1,
City_353,0,1,
City_354,0,1,
City_355,0,1,
City_356,0,1,
City_357,0,1,
City_358,0,5,
City_359,0,2,
City_36,0,15,50000.0
City_360,0,2,
City_361,0,1,
City_362,0,1,
City_363,0,1,
City_364,0,4,
City_365,0,2,
City_366,0,1,
City_367,0,1,
City_368,0,1,
City_369,0,2,
City_37,0,21,31538.46153846154
City_370,0,1,
City_371,0,3,
City_372,0,2,
City_373,0,1,
City_374,0,3,
City_375,0,1,
City_376,0,1,
City_377,0,1,
City_378,0,2,
City_379,0,1,
City_38,0,7,23750.0
City_380,0,1,
City_381,0,1,
City_382,0,1,
City_383,0,1,
City_384,0,1,
City_385,0,1,
City_386,0,4,
City_387,0,1,
City_388,0,1,
City_389,0,1,
City_39,0,3,36666.666666666664
City_390,0,1,
City_391,0,1,
City_392,0,1,
City_393,0,1,
City_394,0,1,
City_395,0,1,
City_396,0,1,
City_397,0,1,
City_398,0,1,
City_399,0,1,
City_4,0,1,70000.0
City_40,0,5,25750.0
City_400,0,3,
City_401,0,1,
City_402,0,1,
City_403,0,1,
City_404,0,1,
City_405,0,1,
City_406,0,1,
City_407,0,1,
City_408,0,1,
City_409,0,1,
City_41,0,2,50000.0
City_410,0,1,
City_411,0,1,
City_412,0,1,
City_413,0,2,
City_414,6,3,
City_414,7,2,
City_414,8,1,
City_414,9,1,
City_414,10,8,
City_414,11,15,
City_414,12,2,
City_414,13,57,
City_414,14,249,
City_414,15,1202,
City_414,16,822,
City_414,17,1174,
City_414,18,52,
City_415,0,1,
City_416,0,1,
City_417,0,2,
City_418,0,1,
City_419,0,1,
City_42,0,3,220000.0
City_420,0,2,
City_421,0,1,
City_422,0,1,
City_423,0,1,
City_424,0,1,
City_425,0,1,
City_426,0,1624,
City_43,0,1,35000.0
City_44,0,1,25000.0
City_45,0,27,47608.69565217391
City_46,0,1,25000.0
City_47,0,34,70000.0
City_48,0,6,37500.0
City_49,0,27,20750.0
City_5,0,22,16666.666666666668
City_50,0,1,40000.0
City_51,0,4,38125.0
City_52,0,1,45000.0
City_53,0,8,35000.0
City_54,0,1,25000.0
City_55,0,8,44166.666666666664
City_56,0,3,25000.0
City_57,0,1,60000.0
City_58,0,2,60000.0
City_59,0,1,120000.0
City_6,0,7,150000.0
City_60,0,30,38571.42857142857
City_61,0,6,42500.0
City_62,0,1,40000.0
City_63,0,9,34000.0
City_64,0,1,40000.0
City_65,0,1,60000.0
City_66,0,7,25000.0
City_67,0,15,33333.333333333336
City_68,0,4,31666.666666666668
City_69,0,4,52500.0
City_7,0,4,25000.0
City_70,0,6,171250.0
City_71,0,16,27000.0
City_72,0,10,52857.142857142855
City_73,0,34,33166.666666666664
City_74,0,2,260000.0
City_75,0,2,60000.0
City_76,0,8,38571.42857142857
City_77,0,15,40833.333333333336
City_78,0,5,50000.0
City_79,0,13,23125.0
City_8,0,82,47884.61538461538
City_80,0,1,55000.0
City_81,0,3,37500.0
City_82,0,12,45000.0
City_83,0,2,40000.0
City_84,0,10,45000.0
City_85,0,2,70000.0
City_86,0,2,140000.0
City_87,0,1,35000.0
City_88,0,6,65000.0
City_89,0,3,60000.0
City_9,0,3,26666.666666666668
City_90,0,4,25000.0
City_91,0,4,21250.0
City_92,0,4,63333.333333333336
City_93,0,3,20000.0
City_94,0,1,100000.0
City_95,0,2,15000.0
City_96,0,1,260000.0
City_97,0,1,60000.0
City_98,0,2,30000.0
City_99,0,1,35000.0
