City,Distance,avg_cost,avg_cost_per_km
24131,211.0,180000.0,853.0805687203791
24213,141.0,132500.0,939.7163120567376
24239,140.0,140000.0,1000.0
24398,156.0,140000.0,897.4358974358975
24465,113.0,140000.0,1238.9380530973451
25209,159.0,180000.0,1132.0754716981132
25629,302.0,,
26455,148.0,160000.0,1081.081081081081
27465,143.0,150000.0,1048.951048951049
27803,118.0,,
28119,147.0,120000.0,816.3265306122449
28122,152.0,,
28159,153.0,,
28356,160.0,120000.0,750.0
28436,160.0,120000.0,750.0
28799,164.0,,
30068,149.0,140000.0,939.5973154362416
30102,160.0,,
30136,178.0,140000.0,786.5168539325842
30137,172.0,,
30141,172.0,140000.0,813.953488372093
30147,167.0,,
31086,113.0,85000.0,752.212389380531
31093,112.0,,
31109,110.0,,
31116,114.0,60000.0,526.3157894736842
31183,113.0,85000.0,752.212389380531
31248,130.0,86363.63636363637,664.3356643356643
31253,132.0,80000.0,606.060606060606
31413,98.0,80000.0,816.3265306122449
31418,108.0,80000.0,740.7407407407408
31454,114.0,84000.0,736.8421052631579
31489,120.0,,
31580,108.0,100000.0,925.925925925926
31700,128.0,100000.0,781.25
31902,135.0,120000.0,888.8888888888889
32149,153.0,150000.0,980.3921568627451
32248,140.0,140000.0,1000.0
32557,161.0,,
33323,164.0,150000.0,914.6341463414634
34047,195.0,140000.0,717.9487179487179
34102,204.0,140000.0,686.2745098039215
34122,193.0,,
34124,189.0,,
34133,186.0,,
34141,190.0,,
34325,182.0,,
34350,186.0,,
34873,201.0,220000.0,1094.5273631840796
35203,194.0,,
35213,194.0,,
35259,186.0,,
35262,200.0,133333.33333333334,666.6666666666666
36728,304.0,190000.0,625.0
37406,337.0,,
37406,339.0,,
38180,382.0,240000.0,628.2722513089005
39400,303.0,200000.0,660.0660066006601
39419,322.0,171250.0,531.832298136646
41216,343.0,220000.0,641.399416909621
42734,346.0,220000.0,635.8381502890173
44032,453.0,250000.0,551.8763796909492
44259,434.0,250000.0,576.036866359447
44783,453.0,,
44908,425.0,250000.0,588.2352941176471
44908,427.0,330000.0,772.8337236533957
44995,439.0,250000.0,569.4760820045558
46726,467.0,260000.0,556.745182012848
46738,451.0,260000.0,576.4966740576497
46744,458.0,260000.0,567.6855895196506
46747,461.0,,
46762,469.0,260000.0,554.3710021321962
48073,476.0,,
48729,468.0,260000.0,555.5555555555555
48743,468.0,,
48814,417.0,,
48934,436.0,,
49111,479.0,,
50126,356.0,250000.0,702.2471910112359
50424,414.0,260000.0,628.0193236714975
50593,456.0,260000.0,570.1754385964912
51556,378.0,,
51556,380.0,260000.0,684.2105263157895
51599,412.0,,
51695,434.0,,
53261,481.0,,
54870,255.0,,
54966,256.0,200000.0,781.25
55365,253.0,200000.0,790.5138339920949
55756,322.0,,
55756,328.0,,
58613,413.0,,
61130,352.0,,
61251,359.0,,
61939,344.0,,
62228,343.0,,
62452,365.0,,
62465,341.0,220000.0,645.1612903225806
63082,623.0,,
63091,623.0,,
01830,54.0,60000.0,1111.111111111111
02540,49.0,30000.0,612.2448979591836
02713,33.0,30000.0,909.0909090909091
03082,30.0,33333.333333333336,1111.111111111111
03128,29.0,25000.0,862.0689655172414
03143,25.0,25000.0,1000.0
03159,29.0,40000.0,1379.3103448275863
03170,28.0,,
03171,27.0,30000.0,1111.111111111111
03172,22.0,,
03185,23.0,25000.0,1086.9565217391305
03186,28.0,,
03187,27.0,25000.0,925.925925925926
03504,24.0,,
03722,26.0,25000.0,961.5384615384615
03723,21.0,30000.0,1428.5714285714287
03723,24.0,32500.0,1354.1666666666665
03737,36.0,40000.0,1111.111111111111
03753,24.0,,
03753,33.0,,
03753,36.0,25000.0,694.4444444444445
03760,22.0,,
03765,33.0,25000.0,757.5757575757575
03909,22.0,25000.0,1136.3636363636363
03921,20.0,30000.0,1500.0
03922,20.0,,
03923,20.0,33166.666666666664,1658.3333333333333
03924,20.0,31538.46153846154,1576.923076923077
03925,20.0,25000.0,1250.0
03926,22.0,30000.0,1363.6363636363637
04152,20.0,25000.0,1250.0
04156,22.0,40000.0,1818.1818181818182
04157,21.0,40000.0,1904.7619047619048
04212,20.0,25000.0,1250.0
04315,22.0,40000.0,1818.1818181818182
04363,21.0,,
04386,31.0,40000.0,1290.3225806451612
04509,25.0,50000.0,2000.0
04520,27.0,30961.53846153846,1146.7236467236467
04521,27.0,30000.0,1111.111111111111
04527,36.0,,
04528,22.0,35000.0,1590.909090909091
04531,27.0,60000.0,2222.222222222222
04539,22.0,35000.0,1590.909090909091
04542,25.0,,
04553,26.0,25000.0,961.5384615384615
04555,35.0,35000.0,1000.0
04627,27.0,40000.0,1481.4814814814815
04631,22.0,35000.0,1590.909090909091
04763,41.0,36666.666666666664,894.308943089431
