index,우편번호,주소
0,1000,서울특별시 강북구 삼양로181길 132
1,1001,서울특별시 강북구 삼양로170길 62
2,1002,서울특별시 강북구 도선사길 93
3,1003,서울특별시 강북구 삼양로155나길 7
4,1004,서울특별시 강북구 삼양로169길 5
5,1005,서울특별시 강북구 삼양로 601
6,1006,서울특별시 강북구 삼양로149길 62
7,1007,서울특별시 강북구 삼양로149가길 5
8,1008,서울특별시 강북구 삼양로139가길 80
9,1009,서울특별시 강북구 삼양로139길 58
10,1010,서울특별시 강북구 삼양로139나길 23
11,1011,서울특별시 강북구 삼양로139길 27
12,1012,서울특별시 강북구 4.19로12길 14
13,1013,서울특별시 강북구 4.19로30길 18
14,1014,서울특별시 강북구 인수봉로81길 5
15,1015,서울특별시 강북구 인수봉로75길 48
16,1016,서울특별시 강북구 4.19로17길 52
17,1017,서울특별시 강북구 4.19로23길 33
18,1018,서울특별시 강북구 4.19로31길 72
19,1019,서울특별시 강북구 삼각산로 13
20,1020,서울특별시 강북구 인수봉로79길 75
21,1021,서울특별시 강북구 인수봉로 245
22,1022,서울특별시 강북구 인수봉로 223
23,1023,서울특별시 강북구 인수봉로57길 7
24,1024,서울특별시 강북구 인수봉로 185
25,1025,서울특별시 강북구 화계사길 46
26,1026,서울특별시 강북구 인수봉로 314
27,1027,서울특별시 강북구 삼양로123가길 39
28,1028,서울특별시 강북구 삼양로123길 46
29,1029,서울특별시 강북구 삼양로 477
30,1030,서울특별시 강북구 삼양로117길 10
31,1031,서울특별시 강북구 인수봉로78길 18
32,1032,서울특별시 강북구 인수봉로 260
33,1033,서울특별시 강북구 삼양로 447
34,1034,서울특별시 강북구 삼양로107길 32
35,1035,서울특별시 강북구 삼양로107길 51
36,1036,서울특별시 강북구 인수봉로68길 46
37,1037,서울특별시 강북구 삼양로130길 5
38,1038,서울특별시 강북구 삼양로124길 27
39,1039,서울특별시 강북구 삼양로124길 14
40,1040,서울특별시 강북구 삼양로118길 31
41,1041,서울특별시 강북구 삼양로116길 21
42,1042,서울특별시 강북구 삼각산로 143
43,1043,서울특별시 강북구 노해로19길 6
44,1044,서울특별시 강북구 한천로170길 7
45,1045,서울특별시 강북구 한천로170길 87
46,1046,서울특별시 강북구 한천로170길 38
47,1047,서울특별시 강북구 한천로 1146
48,1048,서울특별시 강북구 노해로23길 46
49,1049,서울특별시 강북구 노해로27길 14
50,1050,서울특별시 강북구 노해로35길 39
51,1051,서울특별시 강북구 노해로22길 7
52,1052,서울특별시 강북구 도봉로97길 70
53,1053,서울특별시 강북구 도봉로97길 59
54,1054,서울특별시 강북구 한천로140길 17
55,1055,서울특별시 강북구 도봉로101길 33
56,1056,서울특별시 강북구 한천로134길 10
57,1057,서울특별시 강북구 도봉로98길 16
58,1058,서울특별시 강북구 한천로124다길 50
59,1059,서울특별시 강북구 한천로124나길 34
60,1060,서울특별시 강북구 한천로130길 64
61,1061,서울특별시 강북구 덕릉로 193
62,1062,서울특별시 강북구 도봉로 334
63,1063,서울특별시 강북구 도봉로 348
64,1064,서울특별시 강북구 오패산로78길 12
65,1065,서울특별시 강북구 오패산로 389
66,1066,서울특별시 강북구 한천로123길 26
67,1067,서울특별시 강북구 한천로 969
68,1068,서울특별시 강북구 한천로123길 51
69,1069,서울특별시 강북구 덕릉로 119
70,1070,서울특별시 강북구 한천로139가길 42
71,1071,서울특별시 강북구 한천로139나길 22
72,1072,서울특별시 강북구 노해로14길 7
73,1073,서울특별시 강북구 도봉로87길 15
74,1074,서울특별시 강북구 한천로139길 41
75,1075,서울특별시 강북구 삼양로98가길 4
